NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
447,Usine de Valleyfield,Diageo Canada Inc.,1 Salaberry,Salaberry-de-Valleyfield,Quebec,J6T 2G9,45.25582,-74.12052,29.5,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03447&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/447,2022
479,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,50 North Star Road,Quesnel,British Columbia,V2J 3J6,52.998,-122.483,924.58,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03479&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/479,2022
485,Ingredion Canada Incorporated - London Plant,Ingredion Canada Corporation,1100 Green Valley Road,London,Ontario,N6N 1E3,42.92248,-81.1915,431.68,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03485&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/485,2022
488,Ingredion Canada Corporation,Ingredion Canada Corporation,4040 James Street,Cardinal,Ontario,K0E 1E0,44.785,-75.3767,80.41,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03488&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/488,2022
502,Edmonton 142 Street Plant,Cleartech Industries Inc.,12020 142nd Street,Edmonton,Alberta,T5L2G8,53.5726,-113.566,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03502&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2018/502,2022
508,Kemira Chemcials Canada Inc. - Delta,Kemira Chemicals Canada Inc.,1035 Derwent Way,Delta,British Columbia,V3M 5R4,49.17044,-122.93945,3.2,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03508&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/508,2022
517,Plant #31 Brampton,O-I Canada Corp.,100 West Drive,Brampton,Ontario,L6T 2J5,43.70328,-79.7306,274.92,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03517&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/517,2022
536,Wembley Gas Plant,NuVista Energy Ltd.,,Wembley,Alberta,T0H 3S0,55.3359,-119.223,41.04,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03536&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/536,2022
618,Golden Ewp Division,Pacific Woodtech Canada Holdings Ltd,1221 10th Avenue,Golden,British Columbia,V0A 1H1,51.3138,-116.9804,20.25,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03618&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/618,2022
626,Pfizer Global Supply Brandon,Pfizer Canada Ulc,720 17th Street East,Brandon,Manitoba,R7A 7H2,49.83768,-99.91766,2.74,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03626&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/626,2022
635,Meridian Brick - Burlington,Meridian Brick,5155 Dundas Street,Burlington,Ontario,L7R 3Y2,43.4153,-79.8081,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03635&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/635,2022
653,Mazeppa Sour Gas Plant,Mfc Energy Corporation,,High River,Alberta,T1V1M7,50.6475,-113.772,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03653&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2014/653,2022
658,Belle Plaine Facility,Windsor Salt Ltd.,1 Kalium Road,Belle Plaine,Saskatchewan,S0G 0G0,50.42525,-105.18785,2.01,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03658&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/658,2022
672,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,1921 Arrow Lakes Drive,Castlegar,British Columbia,V1N 3H9,49.3357,-117.728,518.22,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03672&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/672,2022
683,Kaybob South #3 Gas Plant,Pgi Processing Ulc,Kaybob South #3 Road,Fox Creek,Alberta,T0H 1P0,54.1944,-116.6322,548.96,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03683&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/683,2022
686,Acheson Sour Gas Plant 05-02,Obsidian Energy Ltd.,,,Alberta,,53.5468,-113.7348,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03686&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2017/686,2022
689,Penn West Pembina 11-22-049-12w5,Obsidian Energy Ltd.,,Calgary,Alberta,,53.244999,-115.674301,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03689&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/689,2022
698,Fort Saskatchewan Plant,Keyera Corp,,Fort Saskatchewan,Alberta,T8L 2T2,53.7469,-113.1645,64.92,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03698&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/698,2022
702,Richmond Cement Plant,Lafarge Canada Inc.,7611 No 9 Road,Richmond,British Columbia,V6W 1H4,49.1591,-123.0032,1117,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03702&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/702,2022
718,Lp Dawson Creek,Louisiana Pacific Canada Ltd.,Mile 3 Alaska Hwy Highway,Dawson Creek,British Columbia,V1G 4P2,55.78752,-120.28334,53.04,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03718&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/718,2022
721,Usine de Valleyfield,Macco Organiques Inc.,100 McArthur,Valleyfield,Quebec,J6S 4M5,45.2636,-74.10475,9.38,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03721&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/721,2022
723,Powell River Division,Catalyst Paper Corporation,,Powell River,British Columbia,V8A 4R3,49.87311,-124.55432,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03723&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/723,2022
744,8 Wing Trenton Environmental Management,Department of National Defence,74 Polaris Avenue,Astra,Ontario,K0K 3W0,44.10881,-77.53274,2319.61,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03744&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/744,2022
745,14 Wing Greenwood,Department of National Defence,658 Astra Way Road,Greenwood,Nova Scotia,B0P 1N0,44.97983,-64.92684,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03745&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/745,2022
746,5 Wing Goose Bay,Department of National Defence,271 Loring Drive,Goose Bay,Newfoundland and Labrador,A0P 1S0,53.30097,-60.398,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03746&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/746,2022
758,"Uniboard Canada Inc, Usine Mont-Laurier",Uniboard Canada Inc,845 Jean-Baptiste Reid Street West,Mont-Laurier,Quebec,J9L 3W3,46.55679,-75.48099,279.16,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03758&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/758,2022
765,Axiall Canada Inc.,Axiall Canada Inc.,31 de l'Industrie Road,Beauharnois,Quebec,J6N 1W5,45.309,-73.894,45.4,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03765&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/765,2022
770,Robert O. Pickard Environmental Centre,City of Ottawa,800 Greens Creek Drive,Ottawa,Ontario,K1J 1A6,45.4606,-75.5908,62.44,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03770&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/770,2022
806,Morrisburg Plant,Evonik Oil Additives Canada Inc.,12695 County Rd. 2,Morrisburg,Ontario,K0C 1X0,44.9136,-75.1583,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03806&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/806,2022
815,Northern Pulp Nova Scotia Corporation,Northern Pulp Nova Scotia Corporation,260 Abercrombie Branch Road,Abercrombie,Nova Scotia,B2H 5C6,45.65243,-62.71653,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03815&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/815,2022
821,Brandon Generating Station,Manitoba Hydro,3305 Victoria Avenue East,Brandon,Manitoba,R7A 7J8,49.8449,-99.8901,14.3,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03821&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/821,2022
875,Meadow Lake Mechanical Pulp,Meadow Lake Mechanical Pulp,,Meadow Lake,Saskatchewan,S9X 1V7,54.15686,-108.28573,155.41,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03875&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/875,2022
878,Whitecourt Pulp Division,Millar Western Forest Products Ltd.,50 Mill Road,Whitecourt,Alberta,T7S 1N9,54.14321,-115.69522,93.16,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03878&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/878,2022
917,Fort Frances Division,Resolute FP Canada Inc.,427 Mowat Avenue,Fort Frances,Ontario,P9A1Y8,48.6111,-93.4034,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03917&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2015/917,2022
928,Dryden Mill,Domtar Inc.,1 Duke Street,Dryden,Ontario,P8N 2Z7,49.7831,-92.8472,681.04,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03928&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/928,2022
929,Usine de Gatineau,Produits Forestiers Résolu,79 Main,Gatineau,Quebec,J8P 4X6,45.4808,-75.6556,375.89,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03929&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/929,2022
930,Resolute Forest Products - Thunder Bay Operations,Produits Forestiers Résolu,2001 Neebing Avenue,Thunder Bay,Ontario,P7E 6S3,48.3486,-89.3067,1041.41,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03930&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/930,2022
941,Lantic Inc. - Vancouver Refinery,Lantic Inc. - Vancouver Refinery,123 Rogers Street,Vancouver,British Columbia,V6A 3N2,49.2841,-123.0802,38.35,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03941&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/941,2022
947,Lantic Inc. Taber Beet Sugar Factory,Lantic Inc. Taber Factory,5405 64th Street Street,Taber,Alberta,T1G 2C4,49.7894,-112.1261,72.51,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03947&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/947,2022
979,Usine Kénogami,Produits Forestiers Résolu,3750 de Champlain,Saguenay,Quebec,G7X 1M1,48.4289,-71.2437,28.47,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03979&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/979,2022
983,Division Alma,Produits Forestiers Résolu,1100 Melanion Street,Alma,Quebec,G8B 5W2,48.565,-71.6558,55.92,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03983&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/983,2022
1028,Alberta Newsprint,Alberta Newsprint Co.,43 Highway North,Whitecourt,Alberta,T7S 1P9,54.1791,-115.806,108.19,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031028&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1028,2022
1033,Battle River Generating Station,Alberta Power 2000 Ltd.,,Forestburg,Alberta,,52.47015,-112.13324,1355.51,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031033&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1033,2022
1036,Sheerness Generating Station,Alberta Power 2000 Ltd.,,Hanna,Alberta,,51.44527,-111.78611,2067.02,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031036&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1036,2022
1039,H.R.Milner Generating Station,Milner Power Limited Partnership By Its Gp Milner Power Inc.,581073 40 Highway,Municipal District of Greenvie,Alberta,,54.0071,-119.104,130.02,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031039&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1039,2022
1042,Swan Hills Treatment Center,Suez Canada Waste Services Inc.,10000 Chrystina Lake Road,Swan Hills,Alberta,T0G 2C0,54.775,-115.2186,23.93,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031042&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1042,2022
1070,Algoma Steel Inc,Algoma Steel Inc.,105 West Street North,Sault Ste. Marie,Ontario,P6A 7B4,46.5208,-84.3697,1052.65,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031070&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1070,2022
1071,Aluminerie de Bécancour Inc.,Aluminerie de Bécancour Inc.,5555 Pierre Thibault,Bécancour,Quebec,G9H 2T7,46.3829,-72.3874,52.39,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031071&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1071,2022
1074,Olds Gas Plant,Whitecap Resources Inc.,525 8 Avenue,Olds,Alberta,T2P 1G1,51.7423,-114.1345,209.87,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031074&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1074,2022
1077,Ferrier Gas Plant,Canlin Energy Corporation,,Ferrier,Alberta,,52.496,-114.988,142.4,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=031077&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/1077,2022
